9位编码,完整编码,项目名称,F列分类,二级分类,映射材料名,匹配规则,置信度,备注
030609001,030609001,钢管,仪表管路,自动化控制仪表安装工程,,,,待人工确认
030609002,030609002,不锈钢管,仪表管路,自动化控制仪表安装工程,,,,待人工确认
030609003,030609003,有色金属管,仪表管路,自动化控制仪表安装工程,,,,待人工确认
030609004,030609004,非金属管,仪表管路,自动化控制仪表安装工程,,,,待人工确认
030609005,030609005,管缆,仪表管路,自动化控制仪表安装工程,,,,待人工确认
030609006,030609006,电伴热电缆,仪表管路,自动化控制仪表安装工程,,,,待人工确认
030804001,030804001,低压碳钢管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804002,030804002,低压碳钢板卷管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804003,030804003,低压不锈钢管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804004,030804004,低压不锈钢板卷管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804005,030804005,低压合金钢管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804006,030804006,低压加热外套碳钢管件(两半),工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804007,030804007,低压加热外套不锈钢管件(两半),工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804008,030804008,低压铝及铝合金管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804009,030804009,低压铝及铝合金板卷管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804010,030804010,低压铜及铜合金管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804011,030804011,低压钛及钛合金管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804012,030804012,低压锆及锆合金管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804013,030804013,低压镍及镍合金管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804014,030804014,低压塑料管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804015,030804015,金属骨架复合管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804016,030804016,低压玻璃钢管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
