9位编码,项目名称,清单项数量,是否已映射,映射材料名,映射类型,相似度,备注
010101001,联合工房石膏板吊顶及灯具修复,7,否,,,,待补全
010101002,挖一般土方,3,否,,,,待补全
010101003,挖沟槽土石方,43,否,,,,待补全
010101004,破除石方及砼,13,否,,,,待补全
010102002,挖沟槽土方,2,否,,,,待补全
010102003,基坑、沟槽石方破碎,3,否,,,,待补全
010103001,沟槽回填砂,61,否,,,,待补全
010103002,余方弃置,23,否,,,,待补全
010201001,换填垫层,3,否,,,,待补全
010202007,锚杆,1,否,,,,待补全
010202009,喷射混凝土、水泥砂浆,2,是,混凝土,partial_match,86.0,
010401001,370厚砖砌挡墙,5,否,,,,待补全
010401003,实心砖墙,15,否,,,,待补全
010401004,240厚多孔砖墙,3,否,,,,待补全
010401012,零星砌砖,2,否,,,,待补全
010401014,砖砌排水沟,7,否,,,,待补全
010402001,砌体修补,12,是,加气混凝土砌块,fuzzy_name,72.0,
010403004,毛石砼挡墙,4,否,,,,待补全
010404001,碎石垫层,8,是,轻质不燃隔墙板,fuzzy_name,72.7,
010501001,基础垫层 C15,35,是,混凝土,feature_match,100.0,
010501002,带形基础 C25,2,是,混凝土,feature_match,100.0,
010501003,独立基础 C30,5,是,混凝土,feature_match,100.0,
010501004,满堂基础 C30抗渗P6,2,是,混凝土,feature_match,100.0,
010501006,设备基础 C35微膨胀细石混凝土,8,是,混凝土,feature_match,100.0,
010502001,矩形柱,4,是,混凝土,feature_match,100.0,
010502002,构造柱（含抱框、芯柱）,3,是,混凝土,feature_match,100.0,
010503001,基础梁 C30,1,是,混凝土,feature_match,100.0,
010503002,矩形梁 C30,4,是,异型立柱,fuzzy_name,85.7,
010503004,混凝土导墙 C20,6,是,混凝土,feature_match,100.0,
010503005,过梁,2,是,混凝土,feature_match,100.0,
010504001,直形墙 地坑C30抗渗P6,18,是,直形连接头,fuzzy_name,72.0,
010505001,有梁板,7,是,桥梁板,fuzzy_name,66.7,
010505002,无梁板 C25抗渗P6,1,是,桥梁板,fuzzy_name,66.7,
010505003,平板,1,是,平板车,partial_match,88.3,
010506001,直形楼梯,1,是,直木楼梯,fuzzy_name,75.0,
010507001,散水,17,否,,,,待补全
010507003,室内排水地沟不锈钢内衬,9,是,珍珠花花岗岩台阶面,partial_match,79.4,
010507004,砖砌台阶,10,是,混凝土,feature_match,100.0,
010507005,100mm厚C25压顶,3,是,玻璃钢化粪池,fuzzy_name,77.1,
010507007,现浇砼包裹钢柱脚  C15细石砼,7,是,玻璃钢化粪池,fuzzy_name,77.1,
010512008,球墨铸铁盖板,4,否,,,,待补全
010514001,垃圾道、通风道、烟道,1,是,垃圾桶,fuzzy_name,72.0,
010514002,集水坑盖板,1,否,,,,待补全
010515001,φ6植筋,57,否,,,,待补全
010515003,钢筋网片,6,否,,,,待补全
010516001,螺栓,1,是,高强度螺栓,manual_confirm,100.0,
010516002,预埋铁件,9,是,预埋件,fuzzy_name,85.7,
010516003,机械连接,3,否,,,,待补全
010603001,镀锌钢柱,2,否,,,,待补全
010603003,钢管柱  600内,3,是,钢管柱,exact_name,100.0,
010604001,钢梁,3,否,,,,待补全
010604002,钢天窗基座,3,否,,,,待补全
010605002,彩钢板屋面,4,否,,,,待补全
010606002,镀锌钢檩条,3,是,“U”型不锈钢条,fuzzy_name,72.0,
010606006,钢平台,1,是,平台钢格板,fuzzy_name,72.0,
010606008,钢楼梯,7,是,工厂旋转钢梯,partial_match,81.7,
010606009,防护活动栏杆,1,是,不锈钢护栏,partial_match,87.0,
010606011,钢板天沟,1,否,,,,待补全
010606013,叉车区域10mm厚不锈钢盖板,17,否,,,,待补全
010607001,成品会议主持台,1,是,镀锌钢拉索R板,partial_match,83.6,
010607002,成品栅栏,6,否,,,,待补全
010607003,主入口轻钢结构雨蓬,1,是,“U”型不锈钢条,fuzzy_name,72.0,
010607004,金属网栏,1,是,金属防盗网,fuzzy_name,66.7,
010607005,砌块墙钢丝网加固,14,是,钢丝网,partial_match,87.5,
010801001,定制隐形门,13,是,木质门框,partial_match,90.0,
010801002,成品装饰木门 MM1022,3,否,,,,待补全
010801004,木质乙级防火门 FHM乙1021,11,是,木质防火门,exact_name,100.0,
010801006,公共厕所木门增加闭门器,3,是,闭门器,manual_confirm,100.0,
010802001,断桥铝合金平开门,29,否,,,,待补全
010802003,钢质防火门-甲级（常闭）,54,是,钢质防火门甲级,partial_match,89.3,
010802004,成品防盗节能保温门,1,是,防盗门,exact_name,100.0,
010803001,金属卷帘门 JLM3540,10,否,,,,待补全
010803002,挡烟垂壁,8,否,,,,待补全
010804007,钢质提升门 TSM4240,1,否,,,,待补全
010805001,电子感应门,4,否,,,,待补全
010805004,电动悬臂平移门,2,是,自由门,partial_match,92.0,
010805005,防火玻璃平开门,1,是,自由门,partial_match,92.0,
010807001,金属(塑钢、断桥)窗,117,否,,,,待补全
010807002,甲级防火固定观察窗  甲FGC1815,12,是,金属防火梯式桥架,fuzzy_name,80.0,
