项目编码,项目名称,项目特征,计量单位,工程量,综合单价,合价,工程名称,子分部,序号
010101001,平整场地,1.土壤类别:综合土 2.弃土运距:5km,m2,717.22,1775.28,1273266.32,XX花园住宅小区一期,主体结构,1
010101002,挖一般土方,1.土壤类别:二类土 2.挖土深度:3m内 3.弃土运距:5km,m3,764.66,1862.40,1424102.78,XX花园住宅小区一期,主体结构,2
010103001,回填方,1.密实度要求:≥0.94 2.填方材料:素土 3.运距:1km,m3,409.11,1209.55,494839.00,XX花园住宅小区一期,主体结构,3
010401001,砖基础,1.砖品种:MU15 页岩砖 2.砂浆强度:M10 水泥砂浆,m3,910.65,2130.45,1940094.29,XX花园住宅小区一期,主体结构,4
010402001,构造柱,1.混凝土:C25 2.碎石粒径:5~16mm,m3,756.60,1847.59,1397886.59,XX花园住宅小区一期,主体结构,5
010501001,垫层,1.混凝土:C15 2.部位:基础垫层,m3,975.13,63.85,62262.05,XX花园住宅小区一期,主体结构,6
010502001,矩形柱,1.混凝土:C30 2.碎石粒径:5~31.5mm,m3,821.08,1965.98,1614226.86,XX花园住宅小区一期,主体结构,7
010505001,有梁板,1.混凝土:C30 2.泵送,m3,358.91,1117.38,401038.86,XX花园住宅小区一期,主体结构,8
010515001,现浇构件钢筋,1.钢筋种类:HRB400 2.规格:Φ18 3.接头:直螺纹,t,1198.36,473.72,567687.10,XX花园住宅小区一期,主体结构,9
011101001,水泥砂浆楼地面,1.找平层:1:3 水泥砂浆 20mm 2.面层:1:2 水泥砂浆 15mm,m2,172.00,774.20,133162.40,XX花园住宅小区一期,主体结构,10
011102001,石材楼地面,1.面层:大理石 800×800 2.结合层:1:3 干硬性水泥砂浆 30mm,m2,17.95,491.33,8819.37,XX花园住宅小区一期,主体结构,11
011201001,墙面一般抹灰,1.基层:混凝土墙 2.底层:1:3 水泥砂浆 12mm 3.面层:1:2.5 8mm,m2,236.48,892.59,211079.68,XX花园住宅小区一期,主体结构,12
011301001,天棚抹灰,1.基层:混凝土板 2.砂浆:1:3 水泥砂浆 7mm,m2,300.96,1010.98,304264.54,XX花园住宅小区一期,主体结构,13
010801001,木质门,1.品种:实木复合门 2.含五金安装,樘,1168.57,419.02,489654.20,XX花园住宅小区一期,主体结构,14
010802001,金属(塑钢)门,1.品种:断桥铝合金门 2.玻璃:中空 LOW-E,樘,1014.51,136.15,138125.54,XX花园住宅小区一期,主体结构,15
010807001,金属(塑钢、断桥)窗,1.品种:断桥铝合金窗 2.玻璃:中空 LOW-E 6+12A+6,樘,244.24,906.82,221481.72,XX花园住宅小区一期,主体结构,16
011407001,墙面喷刷涂料,1.涂料:外墙弹性涂料 2.遍数:两遍,m2,631.11,1617.17,1020612.16,XX花园住宅小区一期,主体结构,17
011406001,抹灰面油漆,1.油漆:白色乳胶漆 2.遍数:两遍,m2,785.16,1900.04,1491835.41,XX花园住宅小区一期,主体结构,18
030801001,镀锌钢管,1.安装部位:室内 2.规格:DN100 3.连接:沟槽 4.压力试验:1.0MPa,m,974.31,62.35,60748.23,XX商业广场机电安装,给排水及电气,1
030802001,钢管,1.规格:DN50 2.连接:焊接 3.防腐:两布三油,m,820.26,1964.48,1611384.36,XX商业广场机电安装,给排水及电气,2
030901001,水喷淋钢管,1.规格:DN150 2.连接:沟槽 3.系统:自动喷淋,m,1038.79,180.74,187750.90,XX商业广场机电安装,给排水及电气,3
030904001,点型探测器,1.名称:感烟探测器 2.总线制,个,576.63,1517.14,874828.44,XX商业广场机电安装,给排水及电气,4
030411001,配管,1.材质:JDG 2.规格:Φ20 3.敷设:暗配,m,365.85,1130.12,413454.40,XX商业广场机电安装,给排水及电气,5
030411004,配线,1.型号:WDZ-BYJ 2.规格:2.5mm2 3.管内穿线,m,508.18,1391.47,707117.22,XX商业广场机电安装,给排水及电气,6
030412001,普通灯具,1.名称:LED 平板灯 2.规格:600×600 36W,套,211.79,847.25,179439.08,XX商业广场机电安装,给排水及电气,7
030502001,光缆,1.型号:GYTA-8B1 2.敷设:桥架,m,626.82,1609.31,1008747.69,XX商业广场机电安装,给排水及电气,8
030408001,电力电缆,1.型号:YJV-4×50+1×25 2.敷设:电缆沟,m,828.01,1978.72,1638399.95,XX商业广场机电安装,给排水及电气,9
030404017,配电箱,1.名称:照明配电箱 2.半周长:1.2m 3.安装:嵌墙,台,1013.37,134.06,135852.38,XX商业广场机电安装,给排水及电气,10
030204031,小电器,1.名称:单联单控开关 2.安装:暗装,个,358.65,1116.91,400579.77,XX商业广场机电安装,给排水及电气,11
030701001,水灭火系统控制装置调试,1.名称:自动喷水灭火系统 2.规模:按喷头数量,系统,909.84,2128.96,1937012.97,XX商业广场机电安装,给排水及电气,12
040101001,挖沟槽土方,1.土壤类别:三类土 2.挖土深度:2.5m 3.弃土运距:3km,m3,1020.84,147.77,150849.53,XX市政道路提升改造,道路工程,1
040103001,填方,1.填方材料:砂砾石 2.密实度:≥0.95,m3,712.73,1767.04,1259422.42,XX市政道路提升改造,道路工程,2
040201021,土工合成材料,1.材料:土工格栅 2.部位:路基,m2,844.23,2008.50,1695635.96,XX市政道路提升改造,道路工程,3
040203007,沥青混凝土,1.厚度:60mm 2.种类:AC-16C 3.机械摊铺,m2,1061.88,223.13,236937.28,XX市政道路提升改造,道路工程,4
040204002,人行道块料铺设,1.材料:透水砖 200×100 2.砂浆:1:3 干硬性,m2,670.60,1689.68,1133099.41,XX市政道路提升改造,道路工程,5
040305001,垫层,1.材料:C15 混凝土 2.部位:道路基层,m3,533.57,1438.09,767321.68,XX市政道路提升改造,道路工程,6
040501001,混凝土管,1.规格:DN800 2.接口:承插橡胶圈 3.基础:120°混凝土,m,88.75,621.34,55143.93,XX市政道路提升改造,道路工程,7
040504001,砌筑检查井,1.规格:Φ1000 2.井深:2.5m 3.材料:现浇混凝土,座,816.59,1957.74,1598670.91,XX市政道路提升改造,道路工程,8
040901001,立缘石,1.材料:花岗岩 2.规格:100×30×50cm,m,346.67,1094.90,379568.98,XX市政道路提升改造,道路工程,9
040101002,挖基坑土方,1.土壤类别:四类土 2.挖土深度:4m 3.支护:钢板桩,m3,1068.28,234.89,250928.29,XX市政道路提升改造,道路工程,10
050101001,整理绿化用地,1.坡度:符合设计 2.找平:人工,m2,328.71,1061.93,349067.01,XX滨河公园景观绿化,绿化工程,1
050101002,种植土回(换)填,1.材料:营养土 2.厚度:30cm,m3,376.16,1149.05,432226.65,XX滨河公园景观绿化,绿化工程,2
050102001,栽植乔木,1.种类:香樟 2.胸径:15cm 3.养护:一年,株,174.66,779.07,136072.37,XX滨河公园景观绿化,绿化工程,3
050102002,栽植灌木,1.种类:红叶石楠 2.高度:120cm 3.养护:一年,株,222.10,866.18,192378.58,XX滨河公园景观绿化,绿化工程,4
050102003,栽植竹类,1.种类:孝顺竹 2.高度:300cm,株,269.55,953.30,256962.01,XX滨河公园景观绿化,绿化工程,5
050102007,栽植色带,1.种类:金森女贞 2.密度:36 株/m2,m2,459.33,1301.77,597942.01,XX滨河公园景观绿化,绿化工程,6
050103001,喷灌管线安装,1.管材:PE 2.规格:De32 3.压力:0.4MPa,m,20.60,496.20,10221.72,XX滨河公园景观绿化,绿化工程,7
050102012,铺种草皮,1.草种:马尼拉 2.养护:一年,m2,696.56,1737.35,1210168.52,XX滨河公园景观绿化,绿化工程,8
050301001,堆筑土山丘,1.土类:种植土 2.高度:2.5m,m3,457.67,1298.72,594385.18,XX滨河公园景观绿化,绿化工程,9
050304001,树池围牙,1.材料:花岗岩 2.规格:120×150mm,m,1185.50,450.12,533617.26,XX滨河公园景观绿化,绿化工程,10
010101001,平整场地,1.土壤类别:综合土 2.弃土运距:5km,m2,717.22,1775.28,1273266.32,信息价参考,信息价,1
010101002,挖一般土方,1.土壤类别:二类土 2.挖土深度:3m内 3.弃土运距:5km,m3,764.66,1862.40,1424102.78,信息价参考,信息价,2
010103001,回填方,1.密实度要求:≥0.94 2.填方材料:素土 3.运距:1km,m3,409.11,1209.55,494839.00,信息价参考,信息价,3
010401001,砖基础,1.砖品种:MU15 页岩砖 2.砂浆强度:M10 水泥砂浆,m3,910.65,2130.45,1940094.29,信息价参考,信息价,4
010402001,构造柱,1.混凝土:C25 2.碎石粒径:5~16mm,m3,756.60,1847.59,1397886.59,信息价参考,信息价,5
010501001,垫层,1.混凝土:C15 2.部位:基础垫层,m3,975.13,63.85,62262.05,信息价参考,信息价,6
010502001,矩形柱,1.混凝土:C30 2.碎石粒径:5~31.5mm,m3,821.08,1965.98,1614226.86,信息价参考,信息价,7
010505001,有梁板,1.混凝土:C30 2.泵送,m3,358.91,1117.38,401038.86,信息价参考,信息价,8
010515001,现浇构件钢筋,1.钢筋种类:HRB400 2.规格:Φ18 3.接头:直螺纹,t,1198.36,473.72,567687.10,信息价参考,信息价,9
011101001,水泥砂浆楼地面,1.找平层:1:3 水泥砂浆 20mm 2.面层:1:2 水泥砂浆 15mm,m2,172.00,774.20,133162.40,信息价参考,信息价,10
011102001,石材楼地面,1.面层:大理石 800×800 2.结合层:1:3 干硬性水泥砂浆 30mm,m2,17.95,491.33,8819.37,信息价参考,信息价,11
